signal_breakout_date,retest_date,entry_date,exit_date,year,entry_open,exit_close,mae,mfe,net_ret,ticker
2018-05-07,2018-05-08,2018-05-09,2018-06-06,2018,46.63750076293945,48.494998931884766,-0.007772698603708328,0.040364506331354466,0.03895404038419836,AAPL
2018-05-08,2018-05-15,2018-05-16,2018-06-13,2018,46.51750183105469,47.67499923706055,-0.0016661084816459448,0.043693176245526155,0.02401283614369132,AAPL
2018-05-09,2018-05-15,2018-05-16,2018-06-13,2018,46.51750183105469,47.67499923706055,-0.0016661084816459448,0.043693176245526155,0.02401283614369132,AAPL
2018-05-10,2018-05-16,2018-05-17,2018-06-14,2018,47.0,47.70000076293945,-0.011914922835979058,0.03297870717150109,0.01403659640449706,AAPL
2019-09-05,2019-09-06,2019-09-09,2019-10-04,2019,53.709999084472656,56.752498626708984,-0.017547891816859895,0.062278929021061025,0.05588125057504434,AAPL
2019-09-09,2019-09-10,2019-09-11,2019-10-08,2019,54.51750183105469,56.099998474121094,-0.013481920221313004,0.05438613726430286,0.028283228810969785,AAPL
2019-10-07,2019-10-09,2019-10-10,2019-11-06,2019,56.98249816894531,64.30999755859375,-0.0027639610593923614,0.13276010502342417,0.1278452633435394,AAPL
2020-02-06,2020-02-12,2020-02-13,2020-03-12,2020,81.04750061035156,62.057498931884766,-0.23501650842911714,0.006261756266416008,-0.2347426716648625,AAPL
2020-06-09,2020-06-15,2020-06-16,2020-07-14,2020,87.86499786376953,97.05750274658203,-0.019177119439600543,0.13759749913190844,0.10414183427528556,AAPL
2020-06-22,2020-06-29,2020-06-30,2020-07-28,2020,90.0199966430664,93.25250244140625,-0.00972006257086877,0.11036442522188761,0.03545652951316147,AAPL
2020-06-23,2020-06-24,2020-06-25,2020-07-23,2020,90.17500305175781,92.84500122070312,-0.02611592212070002,0.10845576321947492,0.029159023005255857,AAPL
2020-07-09,2020-07-10,2020-07-13,2020-08-07,2020,97.26499938964844,111.11250305175781,-0.08348329612436323,0.1762967068531911,0.1419283933672777,AAPL
2020-07-10,2020-07-14,2020-07-15,2020-08-11,2020,98.98999786376953,109.375,-0.09945450483039564,0.15579857503963246,0.10448441934585673,AAPL
2020-07-14,2020-07-16,2020-07-17,2020-08-13,2020,96.98750305175781,115.01000213623047,-0.08086099922075751,0.1964686140544003,0.1853722497617345,AAPL
2020-07-15,2020-07-20,2020-07-21,2020-08-17,2020,99.17250061035156,114.60749816894531,-0.1011117386934024,0.17056140373011597,0.15520324080817827,AAPL
2020-08-04,2020-08-05,2020-08-06,2020-09-02,2020,110.40499877929688,131.39999389648438,-0.011752190794778294,0.24976221414906674,0.1897667679315045,AAPL
2020-08-06,2020-08-10,2020-08-11,2020-09-08,2020,111.97000122070312,112.81999969482422,-0.025564910427352427,0.2322943129702022,0.007232774937869779,AAPL
2020-08-13,2020-08-14,2020-08-17,2020-09-14,2020,116.0625,115.36000061035156,-0.05223478729133013,0.18884218182047663,-0.006396307709158777,AAPL
2020-08-24,2020-08-25,2020-08-26,2020-09-23,2020,126.18000030517578,107.12000274658203,-0.18291331253157372,0.09351716114934305,-0.15134704843428126,AAPL
2020-09-01,2020-09-02,2020-09-03,2020-10-01,2020,126.91000366210938,116.79000091552734,-0.187613304711432,0.015207569301784574,-0.0800441381348116,AAPL
2021-01-21,2021-01-22,2021-01-25,2021-02-22,2021,143.07000732421875,126.0,-0.12210811459950455,0.014118885232837552,-0.11957513766457672,AAPL
