year,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
2016,209.0,0.7033492822966507,0.033411166134797596,0.03121306682580638,-0.00917841365298,0.06984202694681052,-0.04018479147464099,0.0788323730769213
2017,117.0,0.5726495726495726,0.007151723306693945,0.01665341283771249,-0.045710050975342864,0.05173848801552183,-0.053090685504058766,0.06691590501719334
2018,226.0,0.4646017699115044,0.005104641590150717,-0.005174675768707115,-0.05461399529684455,0.04092357096877497,-0.0747058353488402,0.07148303297055135
2019,193.0,0.6113989637305699,0.007363881234560753,0.01621620414430769,-0.021318357425868628,0.043682282462347954,-0.04708310521471722,0.05202712372767017
2020,636.0,0.660377358490566,0.033676077722444735,0.023618062261061,-0.02279167061164189,0.0781343045982183,-0.05613392597052399,0.09507213439347705
2021,667.0,0.5892053973013494,0.01517903440456667,0.015461020286867022,-0.028067406831455588,0.059858156834156184,-0.05775023801981037,0.06802399983065906
2022,328.0,0.46646341463414637,-0.0075641134621672376,-0.0037649667810550347,-0.04691849638464643,0.036638256578682526,-0.06729489849714966,0.054806167940816615
2023,378.0,0.5793650793650794,0.015756375061630697,0.013810192567036972,-0.035681780527408224,0.058519041524715765,-0.05188672936091592,0.06823422769789994
2024,437.0,0.585812356979405,0.017068885815694126,0.012328049193092161,-0.03247997012687753,0.0612192373698941,-0.05367693037978244,0.07002797972209344
2025,406.0,0.5591133004926109,0.006041252812882712,0.007820698768762013,-0.03415922901550114,0.05787340099704674,-0.0623880985982428,0.06763316786084751
