date,tp_active,tp_entries,tp_exits,tp_realized_unit,mr_active,mr_entries,mr_exits,mr_realized_unit,both_active,any_active,combined_active,combined_realized_unit
2015-10-16,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-19,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-20,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-21,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-22,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-23,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-26,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-27,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-28,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-29,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
2015-10-30,0,0,0,0.0,1,1,0,0.0,0,1,1,0.0
2015-11-02,0,0,0,0.0,1,0,0,0.0,0,1,1,0.0
2015-11-03,0,0,0,0.0,1,0,0,0.0,0,1,1,0.0
2015-11-04,0,0,0,0.0,1,0,0,0.0,0,1,1,0.0
2015-11-05,0,0,0,0.0,1,0,0,0.0,0,1,1,0.0
2015-11-06,0,0,0,0.0,2,1,0,0.0,0,1,2,0.0
2015-11-09,0,0,0,0.0,3,1,0,0.0,0,1,3,0.0
2015-11-10,0,0,0,0.0,4,1,0,0.0,0,1,4,0.0
2015-11-11,0,0,0,0.0,5,1,0,0.0,0,1,5,0.0
2015-11-12,0,0,0,0.0,6,1,1,0.014705886012842395,0,1,6,0.014705886012842395
2015-11-13,0,0,0,0.0,5,0,0,0.0,0,1,5,0.0
2015-11-16,5,5,0,0.0,7,2,0,0.0,1,1,12,0.0
2015-11-17,5,0,0,0.0,7,0,0,0.0,1,1,12,0.0
2015-11-18,6,1,0,0.0,7,0,0,0.0,1,1,13,0.0
2015-11-19,6,0,0,0.0,8,1,1,-0.06350438742762443,1,1,14,-0.06350438742762443
2015-11-20,6,0,0,0.0,8,1,1,-0.06238189167484742,1,1,14,-0.06238189167484742
2015-11-23,6,0,0,0.0,7,0,1,-0.06850613971873287,1,1,13,-0.06850613971873287
2015-11-24,6,0,0,0.0,6,0,1,0.1372548705199641,1,1,12,0.1372548705199641
2015-11-25,6,0,0,0.0,5,0,1,0.06461256089180067,1,1,11,0.06461256089180067
2015-11-27,6,0,0,0.0,4,0,0,0.0,1,1,10,0.0
2015-11-30,6,0,0,0.0,4,0,2,0.29855712598800266,1,1,10,0.29855712598800266
2015-12-01,6,0,0,0.0,3,1,0,0.0,1,1,9,0.0
2015-12-02,6,0,0,0.0,3,0,0,0.0,1,1,9,0.0
2015-12-03,6,0,0,0.0,3,0,1,0.05872662894944147,1,1,9,0.05872662894944147
2015-12-04,6,0,0,0.0,2,0,1,0.07169194941056856,1,1,8,0.07169194941056856
2015-12-07,6,0,0,0.0,1,0,0,0.0,1,1,7,0.0
2015-12-08,6,0,0,0.0,1,0,0,0.0,1,1,7,0.0
2015-12-09,6,0,0,0.0,1,0,0,0.0,1,1,7,0.0
2015-12-10,6,0,0,0.0,2,1,0,0.0,1,1,8,0.0
2015-12-11,6,0,0,0.0,3,1,0,0.0,1,1,9,0.0
2015-12-14,14,8,5,0.19110522145186215,4,1,1,0.017279817080973814,1,1,18,0.20838503853283596
2015-12-15,10,1,0,0.0,4,1,0,0.0,1,1,14,0.0
2015-12-16,11,1,1,0.06345459621514049,4,0,0,0.0,1,1,15,0.06345459621514049
2015-12-17,10,0,0,0.0,4,0,0,0.0,1,1,14,0.0
2015-12-18,11,1,0,0.0,4,0,0,0.0,1,1,15,0.0
2015-12-21,11,0,0,0.0,5,1,0,0.0,1,1,16,0.0
2015-12-22,11,0,0,0.0,6,1,0,0.0,1,1,17,0.0
2015-12-23,11,0,0,0.0,6,0,1,0.007191275501857719,1,1,17,0.007191275501857719
2015-12-24,11,0,0,0.0,5,0,1,0.02716711848598541,1,1,16,0.02716711848598541
2015-12-28,12,1,0,0.0,4,0,1,0.06114043997228391,1,1,16,0.06114043997228391
2015-12-29,12,0,0,0.0,3,0,1,0.05726680369703896,1,1,15,0.05726680369703896
2015-12-30,12,0,0,0.0,2,0,0,0.0,1,1,14,0.0
2015-12-31,13,1,0,0.0,2,0,0,0.0,1,1,15,0.0
2016-01-04,13,0,0,0.0,2,0,0,0.0,1,1,15,0.0
2016-01-05,14,1,0,0.0,5,3,1,0.02888171078909929,1,1,19,0.02888171078909929
2016-01-06,17,3,0,0.0,7,3,1,0.0028760656652124794,1,1,24,0.0028760656652124794
2016-01-07,25,8,0,0.0,12,6,0,0.0,1,1,37,0.0
2016-01-08,40,15,0,0.0,23,11,0,0.0,1,1,63,0.0
2016-01-11,50,10,0,0.0,40,17,0,0.0,1,1,90,0.0
2016-01-12,51,1,8,-0.3878760108882847,42,2,0,0.0,1,1,93,-0.3878760108882847
2016-01-13,43,0,1,-0.138367817017383,43,1,0,0.0,1,1,86,-0.138367817017383
2016-01-14,52,10,1,-0.10949993869145469,45,2,0,0.0,1,1,97,-0.10949993869145469
2016-01-15,53,2,0,0.0,45,0,0,0.0,1,1,98,0.0
2016-01-19,56,3,1,-0.14640745058985638,55,10,3,-0.4480559113350798,1,1,111,-0.5944633619249362
2016-01-20,55,0,0,0.0,54,2,3,-0.3983769400444058,1,1,109,-0.3983769400444058
2016-01-21,60,5,0,0.0,62,11,6,-0.32988569565185044,1,1,122,-0.32988569565185044
2016-01-22,60,0,0,0.0,58,2,11,-0.6346847817735299,1,1,118,-0.6346847817735299
2016-01-25,60,0,0,0.0,48,1,17,-1.335270151905927,1,1,108,-1.335270151905927
2016-01-26,60,0,1,-0.1688234180247884,33,2,2,-0.2097546357907758,1,1,93,-0.3785780538155642
2016-01-27,59,0,0,0.0,32,1,1,-0.11233752552188736,1,1,91,-0.11233752552188736
2016-01-28,59,0,0,0.0,34,3,2,0.05610262958815926,1,1,93,0.05610262958815926
2016-01-29,60,1,1,-0.018679803321871025,35,3,0,0.0,1,1,95,-0.018679803321871025
2016-02-01,59,0,0,0.0,37,2,10,-0.12235094706682981,1,1,96,-0.12235094706682981
2016-02-02,59,0,1,-0.17496609987333134,28,1,2,0.07304933531420277,1,1,87,-0.10191676455912857
2016-02-03,59,1,3,-0.31588710869508574,28,2,11,0.24918501887429412,1,1,87,-0.06670208982079162
2016-02-04,56,0,8,-0.57855342390308,21,4,2,-0.039350049508206086,1,1,77,-0.617903473411286
2016-02-05,48,0,15,-1.590152031593094,23,4,1,-0.009544778835808398,1,1,71,-1.5996968104289024
2016-02-08,39,6,10,-0.826041033913582,39,17,2,-0.21973162736725982,1,1,78,-1.0457726612808418
2016-02-09,32,3,1,-0.06669192220872511,55,18,1,-0.050189527304165704,1,1,87,-0.11688144951289081
2016-02-10,35,4,0,0.0,71,17,3,-0.307885792029176,1,1,106,-0.307885792029176
2016-02-11,36,1,10,-0.6772160172443686,72,4,3,-0.2718995302342525,1,1,108,-0.9491155474786211
2016-02-12,29,3,2,-0.12687436753710357,74,5,2,-0.10396640012794733,1,1,103,-0.2308407676650509
2016-02-16,27,0,3,-0.3462610771650195,73,1,1,-0.15654430080025195,1,1,100,-0.5028053779652715
2016-02-17,24,0,0,0.0,72,0,2,-0.07999213958937657,1,1,96,-0.07999213958937657
2016-02-18,24,0,5,-0.18258484312768375,70,0,4,-0.05814544887180195,1,1,94,-0.2407302919994857
2016-02-19,19,0,0,0.0,66,0,4,-0.04126867773456422,1,1,85,-0.04126867773456422
2016-02-22,19,0,0,0.0,62,0,17,1.354007191931887,1,1,81,1.354007191931887
2016-02-23,19,0,0,0.0,45,0,18,1.9670786468079469,1,1,64,1.9670786468079469
2016-02-24,19,0,0,0.0,27,0,17,1.1714266246686909,1,1,46,1.1714266246686909
2016-02-25,19,0,0,0.0,10,0,4,0.5259321600264308,1,1,29,0.5259321600264308
2016-02-26,19,0,1,0.07488108889232037,6,0,5,0.4835072212275686,1,1,25,0.558388310119889
2016-02-29,18,0,0,0.0,1,0,1,0.07662867144423546,1,1,19,0.07662867144423546
2016-03-01,18,0,0,0.0,0,0,0,0.0,0,1,18,0.0
2016-03-02,18,0,1,0.046777423825651976,0,0,0,0.0,0,1,18,0.046777423825651976
2016-03-03,17,0,0,0.0,0,0,0,0.0,0,1,17,0.0
2016-03-04,17,0,0,0.0,0,0,0,0.0,0,1,17,0.0
2016-03-07,17,0,6,0.3590145955640971,0,0,0,0.0,0,1,17,0.3590145955640971
2016-03-08,11,0,3,0.1738652884053551,0,0,0,0.0,0,1,11,0.1738652884053551
2016-03-09,9,1,4,0.16017060171638087,0,0,0,0.0,0,1,9,0.16017060171638087
2016-03-10,5,0,1,0.20719314801909783,0,0,0,0.0,0,1,5,0.20719314801909783
2016-03-11,4,0,3,0.34976500688167356,1,1,0,0.0,1,1,5,0.34976500688167356
2016-03-14,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-15,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-16,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-17,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-18,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-21,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-22,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-23,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-24,1,0,0,0.0,2,1,1,0.19913420242266966,1,1,3,0.19913420242266966
2016-03-28,1,0,0,0.0,1,0,0,0.0,1,1,2,0.0
2016-03-29,2,1,0,0.0,1,0,0,0.0,1,1,3,0.0
2016-03-30,2,0,0,0.0,1,0,0,0.0,1,1,3,0.0
2016-03-31,2,0,0,0.0,1,0,0,0.0,1,1,3,0.0
2016-04-01,2,0,0,0.0,1,0,0,0.0,1,1,3,0.0
2016-04-04,2,0,0,0.0,1,0,0,0.0,1,1,3,0.0
2016-04-05,2,0,0,0.0,1,0,0,0.0,1,1,3,0.0
2016-04-06,2,0,1,0.052076178465871203,1,0,0,0.0,1,1,3,0.052076178465871203
2016-04-07,1,0,0,0.0,1,0,1,0.0344031080260907,1,1,2,0.0344031080260907
2016-04-08,2,1,0,0.0,0,0,0,0.0,0,1,2,0.0
2016-04-11,3,1,0,0.0,0,0,0,0.0,0,1,3,0.0
2016-04-12,3,0,0,0.0,0,0,0,0.0,0,1,3,0.0
2016-04-13,3,0,0,0.0,0,0,0,0.0,0,1,3,0.0
2016-04-14,3,0,0,0.0,0,0,0,0.0,0,1,3,0.0
2016-04-15,3,0,0,0.0,0,0,0,0.0,0,1,3,0.0
2016-04-18,3,0,0,0.0,0,0,0,0.0,0,1,3,0.0
2016-04-19,3,0,0,0.0,0,0,0,0.0,0,1,3,0.0
2016-04-20,4,1,0,0.0,1,1,0,0.0,1,1,5,0.0
2016-04-21,4,0,0,0.0,2,1,0,0.0,1,1,6,0.0
2016-04-22,5,1,0,0.0,3,1,0,0.0,1,1,8,0.0
2016-04-25,6,1,1,0.2427536361709759,4,1,0,0.0,1,1,10,0.2427536361709759
2016-04-26,6,1,0,0.0,4,0,0,0.0,1,1,10,0.0
2016-04-27,9,3,0,0.0,6,2,0,0.0,1,1,15,0.0
2016-04-28,13,4,0,0.0,7,1,0,0.0,1,1,20,0.0
2016-04-29,14,1,0,0.0,9,2,0,0.0,1,1,23,0.0
2016-05-02,15,1,0,0.0,12,3,0,0.0,1,1,27,0.0
2016-05-03,15,0,0,0.0,14,2,1,-0.033848078321843666,1,1,29,-0.033848078321843666
2016-05-04,16,1,0,0.0,14,1,1,-0.07096702670103827,1,1,30,-0.07096702670103827
2016-05-05,18,2,1,0.33823530221274134,15,2,1,-0.061862115019222896,1,1,33,0.27637318719351844
2016-05-06,17,0,1,0.07902818963784553,16,2,1,-0.027606166473887583,1,1,33,0.05142202316395794
2016-05-09,16,0,0,0.0,16,1,0,0.0,1,1,32,0.0
2016-05-10,16,0,0,0.0,16,0,2,0.008562870822734436,1,1,32,0.008562870822734436
2016-05-11,16,0,0,0.0,14,0,1,-0.05384377562961873,1,1,30,-0.05384377562961873
