model,gap_min,hold_days,n,win_rate,mean_ret,median_ret,p25,p75,mean_mae,mean_mfe
EB_UP_CONT,0.03,3,665.0,0.4781954887218045,0.00018721559922145782,-0.0015946607173698002,-0.026345804881589552,0.02286728486222578,-0.036195507613065,0.03500260763013104
EB_DN_REV,0.03,3,490.0,0.44693877551020406,-0.008089526128078723,-0.0039848484348464774,-0.029522659670030565,0.02228116728089763,-0.039269697588867176,0.03140845352154599
EB_UP_CONT,0.03,5,665.0,0.5067669172932331,0.00010152641541621227,0.0008829526228661955,-0.029211472907642144,0.02960107294479375,-0.04564399276094555,0.04528794599482351
EB_DN_REV,0.03,5,490.0,0.44285714285714284,-0.007897301304028648,-0.0060609955753953,-0.036077966869095285,0.02465214228904189,-0.051857865709123624,0.0387254148612713
EB_UP_CONT,0.03,10,665.0,0.5112781954887218,0.008395885451380564,0.0013310631442815524,-0.03528094199599985,0.04495872070315943,-0.058682083689730054,0.06235665706046298
EB_DN_REV,0.03,10,490.0,0.4959183673469388,-0.011362504473936988,-0.0008554383756408379,-0.05454717591920205,0.04386693298977856,-0.07690558941150086,0.05830251463451937
EB_UP_CONT,0.04,3,390.0,0.48205128205128206,0.0022726799209341997,-0.0016139629282322931,-0.025053605023975828,0.021752075105354984,-0.035345572388332594,0.03665971845253833
EB_DN_REV,0.04,3,231.0,0.3939393939393939,-0.013620238544218307,-0.00982602579462355,-0.044162839102724616,0.020849295399003598,-0.044877031135914486,0.03299753533953963
EB_UP_CONT,0.04,5,390.0,0.5128205128205128,0.0014466513882916165,0.001435914739373989,-0.029005433477581916,0.026443357204718965,-0.04408967338217264,0.04738936455135027
EB_DN_REV,0.04,5,231.0,0.4329004329004329,-0.010755073704783876,-0.008322831405743636,-0.03841510695048389,0.02422631399811348,-0.05742198537393577,0.04094791094873264
EB_UP_CONT,0.04,10,390.0,0.5282051282051282,0.010346092774271783,0.004882089677017976,-0.03336585597751207,0.047371557967278155,-0.05701176842880848,0.06271674069109948
EB_DN_REV,0.04,10,231.0,0.4458874458874459,-0.015279292318376492,-0.007587287948314203,-0.06698357140338079,0.036940220171662874,-0.08344326505411727,0.06083864570608689
EB_UP_CONT,0.05,3,261.0,0.5095785440613027,0.003986423457180736,0.0008449993843890891,-0.02207503702237945,0.025267574943661053,-0.03325394215607963,0.038774856742239044
EB_DN_REV,0.05,3,121.0,0.371900826446281,-0.01630710279029204,-0.011552310727954818,-0.04119418141371167,0.022548112966520817,-0.04729602666472903,0.030310805515437758
EB_UP_CONT,0.05,5,261.0,0.5517241379310345,0.0047616780989519665,0.005480401031088489,-0.02380022150044314,0.026543209984467575,-0.0410516316870089,0.05022218251217092
EB_DN_REV,0.05,5,121.0,0.45454545454545453,-0.015020553280099174,-0.005304926603060922,-0.032412322804933225,0.023338999959236606,-0.05927714063208407,0.03838654322233763
EB_UP_CONT,0.05,10,261.0,0.5747126436781609,0.016286447621384693,0.010116315846967261,-0.027069511928331846,0.05105891417932362,-0.05289856057342342,0.06585942243933633
EB_DN_REV,0.05,10,121.0,0.4793388429752066,-0.01713433090623958,-0.0036982755768519837,-0.06292096522370583,0.03929562205860093,-0.08174780922914683,0.05345560395746483
EB_UP_CONT,0.06,3,182.0,0.5274725274725275,0.005095019672592184,0.0021373530339414692,-0.022504727500324118,0.026095055037428427,-0.03139607603936199,0.04041424784910359
EB_DN_REV,0.06,3,73.0,0.3561643835616438,-0.02065757169229916,-0.013470400348590705,-0.05310477180691453,0.022548112966520817,-0.052841060212255,0.03307517594028784
EB_UP_CONT,0.06,5,182.0,0.5824175824175825,0.006995954668048345,0.007450944604303733,-0.017994195244798145,0.028338118299076565,-0.03791074435448342,0.04998760447909794
EB_DN_REV,0.06,5,73.0,0.3835616438356164,-0.020234369153129227,-0.008920278253340297,-0.039066850054636726,0.024995581957020674,-0.06653151597590336,0.04224571085133231
EB_UP_CONT,0.06,10,182.0,0.5934065934065934,0.01997077383953559,0.012353692036024322,-0.016724763861915265,0.05194700668300539,-0.0490925912586023,0.06696287128158897
EB_DN_REV,0.06,10,73.0,0.4931506849315068,-0.019652794684786045,-5.5467434454281594e-05,-0.07504209065077116,0.046065829434158934,-0.09221585952337359,0.060477747886317906
