strategy,ticker,signal_date,entry_date,exit_date,entry_open,exit_close,net_ret
MR_1A,AAPL,2016-01-07,2016-01-08,2016-01-22,24.637500762939453,25.354999542236328,0.027476376694071325
MR_1A,AAPL,2016-01-27,2016-01-28,2016-02-10,23.447500228881836,23.5674991607666,0.00340892430401718
MR_1A,AAPL,2016-04-27,2016-04-28,2016-05-11,24.40250015258789,23.127500534057617,-0.05384377562961873
MR_1A,AAPL,2016-04-28,2016-04-29,2016-05-12,23.497499465942383,22.584999084472656,-0.04050177115339659
MR_1A,AAPL,2016-04-29,2016-05-02,2016-05-13,23.49250030517578,22.6299991607666,-0.038383886558015834
MR_1A,AAPL,2018-04-20,2018-04-23,2018-05-04,41.70750045776367,45.95750045776367,0.10089269555604785
MR_1A,AAPL,2018-04-23,2018-04-24,2018-05-07,41.41749954223633,46.290000915527344,0.11662145222747688
MR_1A,AAPL,2018-11-05,2018-11-06,2018-11-19,50.47999954223633,46.46500015258789,-0.0802970183446634
MR_1A,AAPL,2018-11-06,2018-11-07,2018-11-20,51.49250030517578,44.244998931884766,-0.14147054268609827
MR_1A,AAPL,2018-11-12,2018-11-13,2018-11-27,47.907501220703125,43.560001373291016,-0.09154451485396564
MR_1A,AAPL,2018-11-13,2018-11-14,2018-11-28,48.474998474121094,45.23500061035156,-0.06763579682387
MR_1A,AAPL,2018-11-14,2018-11-15,2018-11-29,47.09749984741211,44.88750076293945,-0.04775293875437325
MR_1A,AAPL,2018-11-20,2018-11-21,2018-12-06,44.932498931884766,43.68000030517578,-0.028752542292865058
MR_1A,AAPL,2018-11-21,2018-11-23,2018-12-07,43.73500061035156,42.122501373291016,-0.037767094366571774
MR_1A,AAPL,2018-11-23,2018-11-26,2018-12-10,43.560001373291016,42.400001525878906,-0.02753556240472177
MR_1A,AAPL,2018-12-07,2018-12-10,2018-12-21,41.25,37.682498931884766,-0.08741218968052433
MR_1A,AAPL,2018-12-21,2018-12-24,2019-01-08,37.037498474121094,37.6875,0.016460947203570386
MR_1A,AAPL,2018-12-24,2018-12-26,2019-01-09,37.07500076293945,38.32749938964844,0.03268630817553042
MR_1A,AAPL,2019-01-03,2019-01-04,2019-01-17,36.13249969482422,38.96500015258789,0.07724225105694305
MR_1A,AAPL,2019-05-13,2019-05-14,2019-05-28,46.602500915527344,44.557498931884766,-0.04472093823152645
MR_1A,AAPL,2019-08-05,2019-08-06,2019-08-19,49.07749938964844,52.587501525878906,0.07067574070711369
MR_1A,AAPL,2020-02-24,2020-02-25,2020-03-09,75.23750305175781,66.5425033569336,-0.11606815720177133
MR_1A,AAPL,2020-02-25,2020-02-26,2020-03-10,71.63249969482422,71.33499908447266,-0.004710241956512373
MR_1A,AAPL,2020-02-27,2020-02-28,2020-03-12,64.31500244140625,62.057498931884766,-0.035711563260045875
MR_1A,AAPL,2020-03-09,2020-03-10,2020-03-23,69.28500366210938,56.092498779296875,-0.1909314505966474
MR_1A,AAPL,2020-03-16,2020-03-17,2020-03-30,61.877498626708984,63.70249938964844,0.028838011269314956
MR_1A,AAPL,2020-03-18,2020-03-19,2020-04-01,61.84749984741211,60.227500915527344,-0.0268315179371873
MR_1A,AAPL,2020-03-20,2020-03-23,2020-04-03,57.02000045776367,60.352500915527344,0.05772265833345602
MR_1A,AAPL,2020-03-23,2020-03-24,2020-04-06,59.09000015258789,65.61750030517578,0.10975300517409758
MR_1A,AAPL,2020-09-04,2020-09-08,2020-09-21,113.94999694824219,110.08000183105469,-0.034307231919670556
MR_1A,AAPL,2020-09-08,2020-09-09,2020-09-22,117.26000213623047,111.80999755859375,-0.04681108865652661
MR_1A,AAPL,2020-09-18,2020-09-21,2020-10-02,104.54000091552734,113.0199966430664,0.0807191627165118
MR_1A,AAPL,2021-01-29,2021-02-01,2021-02-12,133.75,135.3699951171875,0.011811281432215548
MR_1A,AAPL,2022-03-14,2022-03-15,2022-03-28,150.89999389648438,175.60000610351562,0.16339791415539984
MR_1A,AAPL,2022-05-09,2022-05-10,2022-05-23,155.52000427246094,143.11000061035156,-0.08004374000337944
MR_1A,AAPL,2022-05-20,2022-05-23,2022-06-06,137.7899932861328,146.13999938964844,0.0603004608400326
MR_1A,AAPL,2022-06-10,2022-06-13,2022-06-27,132.8699951171875,141.66000366210938,0.0658439977908476
MR_1A,AAPL,2022-06-13,2022-06-14,2022-06-28,133.1300048828125,137.44000244140625,0.032069075493852406
MR_1A,AAPL,2022-09-30,2022-10-03,2022-10-14,138.2100067138672,138.3800048828125,0.0009404482574784101
MR_1A,AAPL,2022-11-03,2022-11-04,2022-11-17,142.08999633789062,150.72000122070312,0.060446169194095845
MR_1A,AAPL,2022-11-04,2022-11-07,2022-11-18,137.11000061035156,151.2899932861328,0.1031137797188475
MR_1A,AAPL,2022-12-16,2022-12-19,2023-01-03,135.11000061035156,125.06999969482422,-0.0745948410419468
MR_1A,AAPL,2022-12-19,2022-12-20,2023-01-04,131.38999938964844,126.36000061035156,-0.03858152958561123
MR_1A,AAPL,2025-03-12,2025-03-13,2025-03-26,215.9499969482422,221.52999877929688,0.02565171972652447
MR_1A,AAPL,2025-03-13,2025-03-14,2025-03-27,211.25,223.85000610351562,0.059450021789726915
MR_1A,AAPL,2025-04-03,2025-04-04,2025-04-17,193.88999938964844,196.97999572753906,0.015728927582336016
MR_1A,AAPL,2025-04-04,2025-04-07,2025-04-21,177.1999969482422,193.16000366210938,0.08983188685256938
MR_1A,AAPL,2025-04-07,2025-04-08,2025-04-22,186.6999969482422,199.74000549316406,0.06962301176839336
MR_1A,AAPL,2025-04-08,2025-04-09,2025-04-23,171.9499969482422,204.60000610351562,0.18962615417785966
MR_1A,ABBV,2016-01-13,2016-01-14,2016-01-28,51.31999969482422,55.849998474121094,0.08745615126580386
MR_1A,ABBV,2016-10-31,2016-11-01,2016-11-14,56.0,62.970001220703125,0.1237058411407197
MR_1A,ABBV,2016-11-01,2016-11-02,2016-11-15,56.459999084472656,62.869998931884766,0.11278328524554326
MR_1A,ABBV,2018-03-22,2018-03-23,2018-04-06,98.98999786376953,89.77999877929688,-0.09342489934400333
MR_1A,ABBV,2018-03-23,2018-03-26,2018-04-09,99.48999786376953,90.4800033569336,-0.09094558035490552
MR_1A,ABBV,2018-03-26,2018-03-27,2018-04-10,95.5,93.62000274658203,-0.020100473758563275
MR_1A,ABBV,2018-10-22,2018-10-23,2018-11-05,82.58000183105469,82.58000183105469,-0.0004842614904755349
MR_1A,ABBV,2018-10-23,2018-10-24,2018-11-06,82.83999633789062,83.66000366210938,0.009413557309826626
MR_1A,ABBV,2018-10-24,2018-10-25,2018-11-07,80.4000015258789,86.95999908447266,0.08107432771554524
MR_1A,ABBV,2018-12-07,2018-12-10,2018-12-21,86.66999816894531,84.91999816894531,-0.020648287435784285
MR_1A,ABBV,2019-01-25,2019-01-28,2019-02-08,80.0,79.66999816894531,-0.0046238669214531125
MR_1A,ABBV,2019-01-28,2019-01-29,2019-02-11,77.02999877929688,79.7699966430664,0.035042153232259565
MR_1A,ABBV,2019-01-29,2019-01-30,2019-02-12,77.69000244140625,79.93000030517578,0.028310356384666724
MR_1A,ABBV,2019-06-25,2019-06-26,2019-07-10,67.23999786376953,71.6500015258789,0.06497180792304702
MR_1A,ABBV,2019-06-26,2019-06-27,2019-07-11,68.16000366210938,71.23999786376953,0.044587768236651115
MR_1A,ABBV,2019-06-27,2019-06-28,2019-07-12,70.58000183105469,70.27999877929688,-0.0048159071237905415
MR_1A,ABBV,2020-02-27,2020-02-28,2020-03-12,82.79000091552734,78.61000061035156,-0.05096003210385791
MR_1A,ABBV,2020-03-09,2020-03-10,2020-03-23,88.19000244140625,64.5,-0.2690171384721247
MR_1A,ABBV,2020-03-12,2020-03-13,2020-03-26,83.36000061035156,73.83000183105469,-0.1147757101132566
MR_1A,ABBV,2020-03-16,2020-03-17,2020-03-30,75.70999908447266,75.23999786376953,-0.0067344675408518295
MR_1A,ABBV,2020-03-17,2020-03-18,2020-03-31,70.0,76.19000244140625,0.08783208285355992
MR_1A,ABBV,2020-03-18,2020-03-19,2020-04-01,69.0999984741211,73.41999816894531,0.06192129324809925
MR_1A,ABBV,2020-03-23,2020-03-24,2020-04-06,68.16000366210938,75.7300033569336,0.11044293473702149
MR_1A,ABBV,2021-01-27,2021-01-28,2021-02-10,104.0,104.05000305175781,9.616469676809736e-05
MR_1A,ABBV,2021-09-02,2021-09-03,2021-09-17,111.18000030517578,107.7300033569336,-0.03138486455633349
MR_1A,ABBV,2021-09-03,2021-09-07,2021-09-20,110.44999694824219,106.4000015258789,-0.03702358590884669
MR_1A,ABBV,2022-04-13,2022-04-14,2022-04-28,157.85000610351562,156.30999755859375,-0.010008288362805762
