atr_min,atr_max,hold_days,n,win_rate,mean_ret,median_ret,p25_ret,p75_ret,mean_mae,mean_mfe
0.0,0.03,5,4463,0.5677795205019045,0.004822381033004133,0.005489249018147957,-0.017508447420532203,0.02775829485672099,-0.028955486687198138,0.030385581022302953
0.0,0.03,10,4458,0.5668461193360251,0.005837817484237272,0.008206009660330138,-0.02497706140979672,0.03969947774331989,-0.040850949282241596,0.04410780393591384
0.0,0.03,20,4446,0.5742240215924427,0.009434933671113121,0.011529631997522216,-0.031974164687126216,0.057838116629563285,-0.05795228584564714,0.06309774796247053
0.0,0.04,5,5657,0.5761004065759237,0.005917298998639798,0.006362062549549297,-0.017795483327341266,0.030234653100240427,-0.03055968053027407,0.03319178822828418
0.0,0.04,10,5651,0.579189523978057,0.008146571217403191,0.010228070411685497,-0.025446968429423178,0.04427196032301173,-0.04280421151839978,0.04828551646764152
0.0,0.04,20,5639,0.5818407519063664,0.013615380718709654,0.014217590515595901,-0.03238381814984981,0.06385586370760443,-0.0602842118772666,0.07029835668117453
0.0,0.05,5,6053,0.575086733850983,0.0060321283308138966,0.00637822237033725,-0.018612842126260687,0.031164245424167403,-0.03181737783678545,0.034605347620899216
0.0,0.05,10,6046,0.581872312272577,0.00918803772976812,0.010737060862391679,-0.02583991463970095,0.04588492185157855,-0.04441265817853518,0.05068768932791497
0.0,0.05,20,6034,0.583360954590653,0.015328346931222848,0.014999339647285836,-0.032510034287094036,0.06560970928548909,-0.0621098335546852,0.07352626207161962
0.0,0.07,5,6301,0.5737184573877162,0.006200992659914424,0.00637822237033725,-0.019174573348138102,0.031548250043802684,-0.0329805257356248,0.03600646524252456
0.0,0.07,10,6291,0.5803528850739151,0.00946015542458576,0.01066133732308372,-0.02658601496525531,0.04647214133516819,-0.04614135408672984,0.05259629895591209
0.0,0.07,20,6279,0.5817805383022774,0.015385206019918416,0.01478314217134602,-0.03372721440134796,0.06655877157051715,-0.0643177860521179,0.0762548560050079
