cooldown_days,ret5d_max,hold_days,n,win_rate,mean_ret,median_ret,p25_ret,p75_ret,mean_mae,mean_mfe
0,-0.04,5,6356,0.5742605412208936,0.006449505026408841,0.006451372111528797,-0.0191782405402042,0.03188846860610145,-0.03355375202540142,0.03675804169872056
5,-0.04,5,3180,0.559748427672956,0.004374167019083909,0.005260718543595777,-0.019480705396748593,0.02882066038474973,-0.03356436743739103,0.03429501113666587
10,-0.04,5,2819,0.5665129478538489,0.004866705315293011,0.005668053997236688,-0.018358797632154367,0.028817971472293813,-0.032605662671371265,0.033730906302921936
20,-0.04,5,2356,0.5522071307300509,0.003445191827573707,0.004544319676262565,-0.019480705396748593,0.027363289389066514,-0.03252495307171552,0.03184212311972793
0,-0.04,10,6346,0.5814686416640403,0.009973734978317286,0.010999263511311752,-0.026612074324219942,0.04702645196758959,-0.04679012549927993,0.05367942797588206
5,-0.04,10,3176,0.5777707808564232,0.00863852504311314,0.010535763994537484,-0.027422475666043583,0.04485528392762178,-0.046044155822340144,0.0507437051846619
10,-0.04,10,2815,0.5747779751332149,0.008462544921286135,0.01034067598106625,-0.02767331772188092,0.04409674403549957,-0.044999192681266634,0.050025956452363705
20,-0.04,10,2354,0.5611724723874256,0.006010886099891369,0.008522129595710748,-0.027980027771703803,0.0407461829721083,-0.04418398467563735,0.046749800340388434
0,-0.04,20,6333,0.5832938575714511,0.016420072503389057,0.015304326742152208,-0.033562135156822714,0.06719455174139899,-0.06509408355556326,0.07788026891271645
5,-0.04,20,3168,0.5776515151515151,0.016034937535018386,0.014596221372440321,-0.032462236218127605,0.06775591210840931,-0.062741796736155,0.0752085635846324
10,-0.04,20,2807,0.5771286070537941,0.01387412352940959,0.013344517371853382,-0.03193082097965255,0.0654320705490663,-0.061971857581188075,0.07266364842763005
20,-0.04,20,2347,0.5743502343417128,0.014027537397854025,0.012469051653647645,-0.03195957919156073,0.06367433096826469,-0.060390898904757524,0.06906429123000354
