year,n,win_net,mean_net,median_net,mean_mae,dd_min
2016,7.0,0.5714285714285714,0.0361234965286538,0.0009123855850086127,-0.05054955182494281,-0.05
2017,14.0,0.7142857142857143,0.04892746919117746,0.051840306939142766,-0.041147254169620825,-0.05
2018,23.0,0.6521739130434783,0.02662054163947886,0.030061418259797135,-0.0533267358648502,-0.05
2019,11.0,0.8181818181818182,0.029933215748741304,0.029486288587813547,-0.036945687373466034,-0.05
2020,18.0,0.5,-0.018183644084433334,0.00847269650314647,-0.07771580887342316,-0.05
2021,38.0,0.5263157894736842,0.0066083242827707205,0.004534951150800048,-0.05390350569225325,-0.05
2022,19.0,0.6842105263157895,0.0013960260544429535,0.012751207674057241,-0.07934895551351433,-0.05
2023,13.0,0.38461538461538464,0.014491588760685493,-0.015435429309775595,-0.06685694992365572,-0.05
2024,33.0,0.48484848484848486,0.0073515580837308575,-0.0013298014940448244,-0.05942204416662841,-0.05
2025,15.0,0.7333333333333333,0.05623651016825161,0.07002254988169443,-0.03903598666181482,-0.05
2016,86.0,0.5232558139534884,0.01755175408716931,0.0014810933285382966,-0.055571957521229384,-0.1
2017,137.0,0.6861313868613139,0.03293103893593104,0.026135557456283376,-0.04036738479641249,-0.1
2018,345.0,0.6347826086956522,0.009733171786207244,0.015628530907237037,-0.0643919710441244,-0.1
2019,121.0,0.6033057851239669,0.01859048041650955,0.012854802078392513,-0.04716948917790691,-0.1
2020,318.0,0.5880503144654088,-0.010142636988065099,0.01512669201464134,-0.0996512839930641,-0.1
2021,455.0,0.6,0.025877449494953342,0.020202056129569046,-0.04854021434336243,-0.1
2022,218.0,0.5045871559633027,-0.007004409440746188,0.0011583855317107705,-0.08064842804823862,-0.1
2023,191.0,0.6282722513089005,0.02488868009743582,0.027738773807156836,-0.049573717876973525,-0.1
2024,350.0,0.6228571428571429,0.025346899050894146,0.023272331703602767,-0.052086026277461964,-0.1
2025,269.0,0.5947955390334573,0.018400210902579737,0.015926350548990387,-0.06512709367175977,-0.1
2016,145.0,0.6068965517241379,0.030255681066453946,0.017683368135016808,-0.05630198669281977,-0.15
2017,199.0,0.6834170854271356,0.034420824870949406,0.03375203689974282,-0.04354645097751333,-0.15
2018,611.0,0.6235679214402619,0.011947430009464188,0.01821754067936432,-0.06403347195981533,-0.15
2019,197.0,0.6446700507614214,0.02348688871792698,0.016952390918917537,-0.04727483918755826,-0.15
2020,573.0,0.5654450261780105,-0.006992300942302353,0.014569912984893518,-0.10470684639883589,-0.15
2021,750.0,0.5906666666666667,0.024930850570322766,0.01726368989034155,-0.049264731108505995,-0.15
2022,375.0,0.448,-0.00932470121845353,-0.010894071797907356,-0.08306319776304422,-0.15
2023,335.0,0.573134328358209,0.017189183994920067,0.011059472248254654,-0.05352075616060752,-0.15
2024,558.0,0.6487455197132617,0.03199420502262827,0.028670606185987824,-0.0517396145467571,-0.15
2025,467.0,0.5588865096359743,0.014368627528630553,0.01370311056369622,-0.07013071820990414,-0.15
2016,161.0,0.5838509316770186,0.02527363029214649,0.015860603841469922,-0.0625695315459422,-0.2
2017,224.0,0.6830357142857143,0.038313807199849635,0.03088250413909699,-0.044290236319246494,-0.2
2018,654.0,0.6146788990825688,0.010121703023185628,0.016672501039391774,-0.0660518547428134,-0.2
2019,225.0,0.6444444444444445,0.024926203142653775,0.021732481253022184,-0.04696032352352487,-0.2
2020,658.0,0.5896656534954408,0.0010041310728914957,0.019970998218817204,-0.10495601060199705,-0.2
2021,846.0,0.5981087470449172,0.027204189425826572,0.018902314480690352,-0.04984951348436355,-0.2
2022,442.0,0.4457013574660634,-0.009059445536762058,-0.011090097169530244,-0.08481293102096088,-0.2
2023,407.0,0.5552825552825553,0.01408129562322741,0.007773374024782287,-0.05883359647662082,-0.2
2024,624.0,0.6426282051282052,0.03047825019727553,0.028162272741329764,-0.05466866378541446,-0.2
2025,551.0,0.5208711433756806,0.006404398519244166,0.0057464649752050345,-0.07559183038781397,-0.2
2016,168.0,0.5952380952380952,0.028511163187073342,0.017842087726203326,-0.0629977621693681,-0.3
2017,231.0,0.6926406926406926,0.041547383164179344,0.035200102109983256,-0.043505122150238246,-0.3
2018,668.0,0.6092814371257484,0.009649929902898617,0.01638557416056674,-0.06713116497254033,-0.3
2019,235.0,0.6595744680851063,0.027674754916520862,0.02419743082509207,-0.04690509913650006,-0.3
2020,676.0,0.5946745562130178,0.0025628816334907836,0.02122970418029324,-0.10639799499304294,-0.3
2021,899.0,0.6140155728587319,0.030488607765468464,0.02061345023851291,-0.05104929064482609,-0.3
2022,486.0,0.44238683127572015,-0.01075709843975098,-0.01317642493793203,-0.08823638002181229,-0.3
2023,431.0,0.5777262180974478,0.02087587222648449,0.012713291915800617,-0.05888162708618473,-0.3
2024,656.0,0.6417682926829268,0.030823370975937597,0.028121789671418318,-0.05674262881785782,-0.3
2025,577.0,0.5095320623916811,0.0015976132646798847,0.0022930380485792767,-0.08019259822787675,-0.3
