year,n,win_net,mean_net,median_net,mean_mae,min_above_sma200
2015,19.0,0.2631578947368421,-0.037636558992980816,-0.030476725535979354,-0.07951120890204753,0.0
2016,170.0,0.5882352941176471,0.02790775562216236,0.017320018308655816,-0.06271956920458728,0.0
2017,234.0,0.6965811965811965,0.042506913350231997,0.03578838818153662,-0.043210253673132394,0.0
2018,677.0,0.6115214180206795,0.009899822366290277,0.01666338343842222,-0.06811526432481747,0.0
2019,240.0,0.6625,0.031565176572176785,0.02536789428159969,-0.04657885152498113,0.0
2020,693.0,0.6002886002886003,0.010807267884434485,0.02219762388790003,-0.1076503951055208,0.0
2021,926.0,0.6241900647948164,0.03457820795322946,0.023769495219528092,-0.050725853190252385,0.0
2022,495.0,0.4383838383838384,-0.011104166233286587,-0.013449228221903642,-0.08873031136116247,0.0
2023,433.0,0.5773672055427251,0.021179101175140914,0.012713291915800617,-0.058761712359157385,0.0
2024,658.0,0.6428571428571429,0.03111805422860326,0.028588453054894547,-0.05668729656772798,0.0
2025,588.0,0.5017006802721088,8.817965509670725e-05,0.0004849193362922444,-0.08257327871709316,0.0
2015,16.0,0.25,-0.03366221655354209,-0.030200446499890232,-0.07972914235521054,0.02
2016,133.0,0.5639097744360902,0.034327805940574295,0.016956668482294823,-0.06409360141004136,0.02
2017,218.0,0.7155963302752294,0.044279935621792985,0.03702889889558103,-0.04323240109454755,0.02
2018,559.0,0.6493738819320215,0.014110754765986494,0.023181770147844505,-0.06641096757555356,0.02
2019,204.0,0.6568627450980392,0.03156497519164848,0.022082359231469395,-0.048069576017807626,0.02
2020,633.0,0.6145339652448657,0.014436328007642555,0.024940036218135564,-0.10165592317453459,0.02
2021,845.0,0.621301775147929,0.034648382141738224,0.023809517843932593,-0.05176168899104565,0.02
2022,414.0,0.4492753623188406,-0.011176751800462788,-0.01317642493793203,-0.08966540175567168,0.02
2023,379.0,0.6015831134564644,0.024665218322401632,0.020320418748467795,-0.057516364188759904,0.02
2024,582.0,0.6391752577319587,0.030223719506873203,0.02677200331267171,-0.0573224720968513,0.02
2025,517.0,0.4932301740812379,-0.0006998708927475723,-0.0006094439302880561,-0.08320936187434941,0.02
2015,16.0,0.25,-0.03366221655354209,-0.030200446499890232,-0.07972914235521054,0.03
2016,120.0,0.5583333333333333,0.037089270232437806,0.016771985988243365,-0.06698756032871413,0.03
2017,212.0,0.7216981132075472,0.04570480901865457,0.03985520886552596,-0.04346386269605459,0.03
2018,524.0,0.6545801526717557,0.014435770633069897,0.023419693698085498,-0.06730994048785482,0.03
2019,183.0,0.6721311475409836,0.03710804086866532,0.02747026531480845,-0.04635666424720199,0.03
2020,607.0,0.6161449752883031,0.015600282885992451,0.02652128669806797,-0.10036032005724187,0.03
2021,804.0,0.6181592039800995,0.03429580450660889,0.023724506131766243,-0.052176411331340544,0.03
2022,377.0,0.44297082228116713,-0.012627289899702744,-0.01322037765317452,-0.09081835761212415,0.03
2023,350.0,0.6228571428571429,0.02708443618594377,0.025259374327947226,-0.05684126655986023,0.03
2024,549.0,0.6357012750455373,0.029491705634147814,0.026490090706768887,-0.057579831158842826,0.03
2025,476.0,0.49159663865546216,-0.000780275167415177,-0.0008983136081109899,-0.08408581649656631,0.03
2015,15.0,0.26666666666666666,-0.03446807494841589,-0.030476725535979354,-0.08259258277907984,0.05
2016,102.0,0.5490196078431373,0.0431567465681022,0.016771985988243365,-0.06466111988547812,0.05
2017,194.0,0.7422680412371134,0.048929988884532816,0.04266794933480622,-0.04387738631184124,0.05
2018,433.0,0.6651270207852193,0.016600409003128112,0.024352504056360136,-0.06745077158225712,0.05
2019,133.0,0.7218045112781954,0.04018256321507768,0.029486288587813547,-0.044875194276515755,0.05
2020,532.0,0.6278195488721805,0.018637412138275463,0.028277869498099517,-0.09597506534077582,0.05
2021,730.0,0.6164383561643836,0.03368802408147441,0.023769495219528092,-0.05285571332200483,0.05
2022,300.0,0.42333333333333334,-0.016288255623681,-0.01808524124112415,-0.09580747504538617,0.05
2023,303.0,0.6600660066006601,0.031127096103437363,0.030995206861842206,-0.05501160576338076,0.05
2024,486.0,0.6399176954732511,0.03080685749997503,0.026674262420997463,-0.057971501963937404,0.05
2025,396.0,0.494949494949495,0.0013594870390200224,-0.00044332996321344575,-0.08403748379422803,0.05
